KEY,PREF,CITY,KCITY,RCOM,YEAR,EXTENT_RICE,EXTENT_TEA,EXTENT_VEG,SYN_RICE,SYN_TEA,SYN_VEG,ORG_RICE,ORG_TEA,ORG_VEG,AGROCHEM_RICE,AGROCHEM_TEA,AGROCHEM_VEG,DIESEL_RICE,DIESEL_TEA,DIESEL_VEG,GASOL_RICE,GASOL_TEA,GASOL_VEG,KEROS_RICE,KEROS_TEA,KEROS_VEG,ENGOIL_RICE,ENGOIL_TEA,ENGOIL_VEG,ELECT_RICE,ELECT_TEA,ELECT_VEG
2610100001.0,26,101,0,1,2029,41.0,,,39.51,,,0.0,,,0.0,,,2.21,,,2.01,,,2.13,,,0.0,,,0.53,,
2610100001.0,26,101,0,1,2030,38.0,,,36.22,,,0.0,,,0.0,,,2.05,,,1.86,,,1.98,,,0.0,,,0.49,,
2610100001.0,26,101,0,1,2031,36.0,,,33.93,,,0.0,,,0.0,,,1.94,,,1.76,,,1.87,,,0.0,,,0.47,,
2610100001.0,26,101,0,1,2032,34.0,,,31.69,,,0.0,,,0.0,,,1.84,,,1.67,,,1.77,,,0.0,,,0.44,,
2610100001.0,26,101,0,1,2033,31.0,,,28.56,,,0.0,,,0.0,,,1.67,,,1.52,,,1.61,,,0.0,,,0.4,,
2610100001.0,26,101,0,1,2034,29.0,,,26.41,,,0.0,,,0.0,,,1.57,,,1.42,,,1.51,,,0.0,,,0.38,,
2610100001.0,26,101,0,1,2035,26.0,,,23.4,,,0.0,,,0.0,,,1.4,,,1.27,,,1.35,,,0.0,,,0.34,,
2610100001.0,26,101,0,1,2036,24.0,,,21.35,,,0.0,,,0.0,,,1.3,,,1.18,,,1.25,,,0.0,,,0.31,,
2610100001.0,26,101,0,1,2037,22.0,,,19.34,,,0.0,,,0.0,,,1.19,,,1.08,,,1.14,,,0.0,,,0.29,,
2610100001.0,26,101,0,1,2038,19.0,,,16.5,,,0.0,,,0.0,,,1.03,,,0.93,,,0.99,,,0.0,,,0.25,,
2610100001.0,26,101,0,1,2039,17.0,,,14.58,,,0.0,,,0.0,,,0.92,,,0.83,,,0.88,,,0.0,,,0.22,,
2610100001.0,26,101,0,1,2040,14.0,,,11.86,,,0.04,,,0.0,,,0.76,,,0.69,,,0.73,,,0.0,,,0.18,,
2610100001.0,26,101,0,1,2041,12.0,,,10.04,,,0.16,,,0.0,,,0.65,,,0.59,,,0.62,,,0.0,,,0.16,,
2610100001.0,26,101,0,1,2042,10.0,,,8.26,,,0.24,,,0.0,,,0.54,,,0.49,,,0.52,,,0.0,,,0.13,,
2610100001.0,26,101,0,1,2043,7.0,,,5.71,,,0.24,,,0.0,,,0.38,,,0.34,,,0.36,,,0.0,,,0.09,,
2610100001.0,26,101,0,1,2044,5.0,,,4.02,,,0.23,,,0.0,,,0.27,,,0.24,,,0.26,,,0.0,,,0.06,,
2610100001.0,26,101,0,1,2045,2.0,,,1.59,,,0.11,,,0.0,,,0.11,,,0.1,,,0.1,,,0.0,,,0.03,,
2610100001.0,26,101,0,1,2046,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100001.0,26,101,0,1,2047,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100001.0,26,101,0,1,2048,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100001.0,26,101,0,1,2049,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100001.0,26,101,0,1,2050,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100002.0,26,101,0,2,2029,59.0,,,56.86,,,0.0,,,0.0,,,3.19,,,2.89,,,3.07,,,0.0,,,0.77,,
2610100002.0,26,101,0,2,2030,55.0,,,52.42,,,0.0,,,0.0,,,2.97,,,2.7,,,2.86,,,0.0,,,0.72,,
2610100002.0,26,101,0,2,2031,52.0,,,49.01,,,0.0,,,0.0,,,2.81,,,2.55,,,2.7,,,0.0,,,0.68,,
2610100002.0,26,101,0,2,2032,48.0,,,44.73,,,0.0,,,0.0,,,2.59,,,2.35,,,2.5,,,0.0,,,0.62,,
2610100002.0,26,101,0,2,2033,45.0,,,41.46,,,0.0,,,0.0,,,2.43,,,2.2,,,2.34,,,0.0,,,0.58,,
2610100002.0,26,101,0,2,2034,41.0,,,37.34,,,0.0,,,0.0,,,2.21,,,2.01,,,2.13,,,0.0,,,0.53,,
2610100002.0,26,101,0,2,2035,38.0,,,34.21,,,0.0,,,0.0,,,2.05,,,1.86,,,1.98,,,0.0,,,0.49,,
2610100002.0,26,101,0,2,2036,34.0,,,30.25,,,0.0,,,0.0,,,1.84,,,1.67,,,1.77,,,0.0,,,0.44,,
2610100002.0,26,101,0,2,2037,31.0,,,27.25,,,0.0,,,0.0,,,1.67,,,1.52,,,1.61,,,0.0,,,0.4,,
2610100002.0,26,101,0,2,2038,28.0,,,24.31,,,0.0,,,0.0,,,1.51,,,1.37,,,1.46,,,0.0,,,0.36,,
2610100002.0,26,101,0,2,2039,24.0,,,20.59,,,0.0,,,0.0,,,1.3,,,1.18,,,1.25,,,0.0,,,0.31,,
2610100002.0,26,101,0,2,2040,21.0,,,17.79,,,0.06,,,0.0,,,1.13,,,1.03,,,1.09,,,0.0,,,0.27,,
2610100002.0,26,101,0,2,2041,17.0,,,14.22,,,0.23,,,0.0,,,0.92,,,0.83,,,0.88,,,0.0,,,0.22,,
2610100002.0,26,101,0,2,2042,14.0,,,11.56,,,0.34,,,0.0,,,0.76,,,0.69,,,0.73,,,0.0,,,0.18,,
2610100002.0,26,101,0,2,2043,10.0,,,8.15,,,0.35,,,0.0,,,0.54,,,0.49,,,0.52,,,0.0,,,0.13,,
2610100002.0,26,101,0,2,2044,7.0,,,5.63,,,0.32,,,0.0,,,0.38,,,0.34,,,0.36,,,0.0,,,0.09,,
2610100002.0,26,101,0,2,2045,4.0,,,3.18,,,0.22,,,0.0,,,0.22,,,0.2,,,0.21,,,0.0,,,0.05,,
2610100002.0,26,101,0,2,2046,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100002.0,26,101,0,2,2047,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100002.0,26,101,0,2,2048,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100002.0,26,101,0,2,2049,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100002.0,26,101,0,2,2050,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100003.0,26,101,0,3,2029,20.0,,,19.27,,,0.0,,,0.0,,,1.08,,,0.98,,,1.04,,,0.0,,,0.26,,
2610100003.0,26,101,0,3,2030,19.0,,,18.11,,,0.0,,,0.0,,,1.03,,,0.93,,,0.99,,,0.0,,,0.25,,
2610100003.0,26,101,0,3,2031,18.0,,,16.97,,,0.0,,,0.0,,,0.97,,,0.88,,,0.94,,,0.0,,,0.23,,
2610100003.0,26,101,0,3,2032,17.0,,,15.84,,,0.0,,,0.0,,,0.92,,,0.83,,,0.88,,,0.0,,,0.22,,
2610100003.0,26,101,0,3,2033,15.0,,,13.82,,,0.0,,,0.0,,,0.81,,,0.74,,,0.78,,,0.0,,,0.19,,
2610100003.0,26,101,0,3,2034,14.0,,,12.75,,,0.0,,,0.0,,,0.76,,,0.69,,,0.73,,,0.0,,,0.18,,
2610100003.0,26,101,0,3,2035,13.0,,,11.7,,,0.0,,,0.0,,,0.7,,,0.64,,,0.68,,,0.0,,,0.17,,
2610100003.0,26,101,0,3,2036,12.0,,,10.67,,,0.0,,,0.0,,,0.65,,,0.59,,,0.62,,,0.0,,,0.16,,
2610100003.0,26,101,0,3,2037,11.0,,,9.67,,,0.0,,,0.0,,,0.59,,,0.54,,,0.57,,,0.0,,,0.14,,
2610100003.0,26,101,0,3,2038,10.0,,,8.68,,,0.0,,,0.0,,,0.54,,,0.49,,,0.52,,,0.0,,,0.13,,
2610100003.0,26,101,0,3,2039,9.0,,,7.72,,,0.0,,,0.0,,,0.49,,,0.44,,,0.47,,,0.0,,,0.12,,
2610100003.0,26,101,0,3,2040,7.0,,,5.93,,,0.02,,,0.0,,,0.38,,,0.34,,,0.36,,,0.0,,,0.09,,
2610100003.0,26,101,0,3,2041,6.0,,,5.02,,,0.08,,,0.0,,,0.32,,,0.29,,,0.31,,,0.0,,,0.08,,
2610100003.0,26,101,0,3,2042,5.0,,,4.13,,,0.12,,,0.0,,,0.27,,,0.24,,,0.26,,,0.0,,,0.06,,
2610100003.0,26,101,0,3,2043,4.0,,,3.26,,,0.14,,,0.0,,,0.22,,,0.2,,,0.21,,,0.0,,,0.05,,
2610100003.0,26,101,0,3,2044,2.0,,,1.61,,,0.09,,,0.0,,,0.11,,,0.1,,,0.1,,,0.0,,,0.03,,
2610100003.0,26,101,0,3,2045,1.0,,,0.79,,,0.06,,,0.0,,,0.05,,,0.05,,,0.05,,,0.0,,,0.01,,
2610100003.0,26,101,0,3,2046,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100003.0,26,101,0,3,2047,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100003.0,26,101,0,3,2048,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100003.0,26,101,0,3,2049,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100003.0,26,101,0,3,2050,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100004.0,26,101,0,4,2029,10.0,,,9.64,,,0.0,,,0.0,,,0.54,,,0.49,,,0.52,,,0.0,,,0.13,,
2610100004.0,26,101,0,4,2030,10.0,,,9.53,,,0.0,,,0.0,,,0.54,,,0.49,,,0.52,,,0.0,,,0.13,,
2610100004.0,26,101,0,4,2031,9.0,,,8.48,,,0.0,,,0.0,,,0.49,,,0.44,,,0.47,,,0.0,,,0.12,,
2610100004.0,26,101,0,4,2032,8.0,,,7.46,,,0.0,,,0.0,,,0.43,,,0.39,,,0.42,,,0.0,,,0.1,,
2610100004.0,26,101,0,4,2033,8.0,,,7.37,,,0.0,,,0.0,,,0.43,,,0.39,,,0.42,,,0.0,,,0.1,,
2610100004.0,26,101,0,4,2034,7.0,,,6.38,,,0.0,,,0.0,,,0.38,,,0.34,,,0.36,,,0.0,,,0.09,,
2610100004.0,26,101,0,4,2035,7.0,,,6.3,,,0.0,,,0.0,,,0.38,,,0.34,,,0.36,,,0.0,,,0.09,,
2610100004.0,26,101,0,4,2036,6.0,,,5.34,,,0.0,,,0.0,,,0.32,,,0.29,,,0.31,,,0.0,,,0.08,,
2610100004.0,26,101,0,4,2037,5.0,,,4.39,,,0.0,,,0.0,,,0.27,,,0.24,,,0.26,,,0.0,,,0.06,,
2610100004.0,26,101,0,4,2038,5.0,,,4.34,,,0.0,,,0.0,,,0.27,,,0.24,,,0.26,,,0.0,,,0.06,,
2610100004.0,26,101,0,4,2039,4.0,,,3.43,,,0.0,,,0.0,,,0.22,,,0.2,,,0.21,,,0.0,,,0.05,,
2610100004.0,26,101,0,4,2040,4.0,,,3.39,,,0.01,,,0.0,,,0.22,,,0.2,,,0.21,,,0.0,,,0.05,,
2610100004.0,26,101,0,4,2041,3.0,,,2.51,,,0.04,,,0.0,,,0.16,,,0.15,,,0.16,,,0.0,,,0.04,,
2610100004.0,26,101,0,4,2042,2.0,,,1.65,,,0.05,,,0.0,,,0.11,,,0.1,,,0.1,,,0.0,,,0.03,,
2610100004.0,26,101,0,4,2043,2.0,,,1.63,,,0.07,,,0.0,,,0.11,,,0.1,,,0.1,,,0.0,,,0.03,,
2610100004.0,26,101,0,4,2044,1.0,,,0.8,,,0.05,,,0.0,,,0.05,,,0.05,,,0.05,,,0.0,,,0.01,,
2610100004.0,26,101,0,4,2045,1.0,,,0.79,,,0.06,,,0.0,,,0.05,,,0.05,,,0.05,,,0.0,,,0.01,,
2610100004.0,26,101,0,4,2046,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100004.0,26,101,0,4,2047,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100004.0,26,101,0,4,2048,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100004.0,26,101,0,4,2049,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100004.0,26,101,0,4,2050,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100005.0,26,101,0,5,2029,240.0,,,231.29,,,0.0,,,0.0,,,12.96,,,11.76,,,12.48,,,0.0,,,3.12,,
2610100005.0,26,101,0,5,2030,226.0,,,215.4,,,0.0,,,0.0,,,12.2,,,11.07,,,11.75,,,0.0,,,2.94,,
2610100005.0,26,101,0,5,2031,212.0,,,199.81,,,0.0,,,0.0,,,11.45,,,10.39,,,11.02,,,0.0,,,2.76,,
2610100005.0,26,101,0,5,2032,197.0,,,183.59,,,0.0,,,0.0,,,10.64,,,9.65,,,10.24,,,0.0,,,2.56,,
2610100005.0,26,101,0,5,2033,183.0,,,168.6,,,0.0,,,0.0,,,9.88,,,8.97,,,9.52,,,0.0,,,2.38,,
2610100005.0,26,101,0,5,2034,169.0,,,153.92,,,0.0,,,0.0,,,9.13,,,8.28,,,8.79,,,0.0,,,2.2,,
2610100005.0,26,101,0,5,2035,155.0,,,139.52,,,0.0,,,0.0,,,8.37,,,7.6,,,8.06,,,0.0,,,2.02,,
2610100005.0,26,101,0,5,2036,141.0,,,125.43,,,0.0,,,0.0,,,7.61,,,6.91,,,7.33,,,0.0,,,1.83,,
2610100005.0,26,101,0,5,2037,127.0,,,111.63,,,0.0,,,0.0,,,6.86,,,6.22,,,6.6,,,0.0,,,1.65,,
2610100005.0,26,101,0,5,2038,113.0,,,98.13,,,0.0,,,0.0,,,6.1,,,5.54,,,5.88,,,0.0,,,1.47,,
2610100005.0,26,101,0,5,2039,99.0,,,84.92,,,0.0,,,0.0,,,5.35,,,4.85,,,5.15,,,0.0,,,1.29,,
2610100005.0,26,101,0,5,2040,85.0,,,72.01,,,0.24,,,0.0,,,4.59,,,4.16,,,4.42,,,0.0,,,1.1,,
2610100005.0,26,101,0,5,2041,71.0,,,59.4,,,0.95,,,0.0,,,3.83,,,3.48,,,3.69,,,0.0,,,0.92,,
2610100005.0,26,101,0,5,2042,57.0,,,47.08,,,1.37,,,0.0,,,3.08,,,2.79,,,2.96,,,0.0,,,0.74,,
2610100005.0,26,101,0,5,2043,43.0,,,35.06,,,1.49,,,0.0,,,2.32,,,2.11,,,2.24,,,0.0,,,0.56,,
2610100005.0,26,101,0,5,2044,29.0,,,23.34,,,1.31,,,0.0,,,1.57,,,1.42,,,1.51,,,0.0,,,0.38,,
2610100005.0,26,101,0,5,2045,14.0,,,11.12,,,0.78,,,0.0,,,0.76,,,0.69,,,0.73,,,0.0,,,0.18,,
2610100005.0,26,101,0,5,2046,1.0,,,0.78,,,0.07,,,0.0,,,0.05,,,0.05,,,0.05,,,0.0,,,0.01,,
2610100005.0,26,101,0,5,2047,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100005.0,26,101,0,5,2048,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100005.0,26,101,0,5,2049,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
2610100005.0,26,101,0,5,2050,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
