KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610100001,26,101,00,001,15.93,145.73,2.08,74.0,0.37,5.15,268.92,498.08,15.3
2610100002,26,101,00,002,16.05,143.3,2.07,70.43,0.38,5.3,276.71,509.71,15.09
2610100003,26,101,00,003,16.09,142.52,2.07,69.61,0.38,5.33,272.46,500.76,15.28
2610100004,26,101,00,004,15.93,141.96,2.08,68.8,0.37,5.36,268.2,491.8,15.48
2610100005,26,101,00,005,16.29,142.28,2.05,71.83,0.37,5.36,274.72,499.32,15.57
2610100006,26,101,00,006,16.22,141.51,2.05,70.31,0.37,5.36,271.46,495.56,15.53
2610100007,26,101,00,007,16.2,141.26,2.05,69.56,0.37,5.36,269.83,493.68,15.5
2610100008,26,101,00,008,16.2,141.02,2.06,69.18,0.37,5.36,269.01,492.74,15.49
2610100009,26,101,00,009,15.69,145.18,2.11,69.14,0.38,5.21,254.59,501.14,14.95
2610100010,26,101,00,010,15.59,147.86,2.15,64.83,0.38,5.13,242.92,547.54,14.29
2610100011,26,101,00,011,15.64,146.01,2.12,67.6,0.38,5.19,252.76,517.12,14.45
2610100012,26,101,00,012,16.23,140.58,2.06,67.3,0.39,5.22,261.2,506.3,14.48
2610100013,26,101,00,013,15.26,140.19,2.16,65.4,0.41,5.1,261.4,501.0,13.65
2610100014,26,101,00,014,14.75,154.48,2.21,67.63,0.4,5.05,245.33,527.99,13.07
2610100015,26,101,00,015,16.09,141.52,2.11,65.17,0.38,5.28,270.5,507.17,14.73
2610100016,26,101,00,016,15.1,139.33,2.16,65.84,0.4,5.03,273.68,503.29,13.09
2610100017,26,101,00,017,13.95,152.98,2.27,68.22,0.4,4.94,251.31,529.72,11.97
2610100018,26,101,00,018,16.45,140.29,2.03,70.3,0.37,5.31,269.87,497.66,15.24
2610100019,26,101,00,019,16.45,139.84,2.04,67.61,0.39,5.18,272.39,508.52,14.4
2610100020,26,101,00,020,16.34,140.98,2.04,67.29,0.39,5.15,269.34,502.62,14.1
2610100021,26,101,00,021,15.4,137.97,2.14,66.29,0.38,5.29,275.0,496.29,14.16
2610100022,26,101,00,022,16.55,138.83,2.08,70.33,0.39,5.17,270.33,538.0,15.34
2610100023,26,101,00,023,15.91,139.15,2.11,66.69,0.38,5.2,273.62,524.62,14.88
2610100024,26,101,00,024,16.64,137.35,2.08,69.51,0.38,5.24,274.98,531.91,15.31
2610100025,26,101,00,025,13.19,155.37,2.25,71.49,0.4,4.93,253.54,586.44,11.49
2610100026,26,101,00,026,13.19,160.77,2.2,72.72,0.38,4.93,252.39,606.85,11.44
2610100027,26,101,00,027,12.67,157.38,2.1,72.54,0.36,4.85,249.7,651.04,11.3
2610100028,26,101,00,028,12.42,164.54,2.16,78.0,0.37,4.84,237.69,676.02,10.93
2610100029,26,101,00,029,13.74,159.77,2.31,69.27,0.4,4.96,259.14,579.58,11.64
2610100030,26,101,00,030,13.15,166.36,2.25,71.65,0.38,4.92,237.15,593.35,11.55
2610100031,26,101,00,031,12.6,171.76,2.22,75.46,0.38,4.86,249.23,654.23,10.95
2610200001,26,102,00,001,16.49,138.26,2.05,71.8,0.37,5.26,275.42,521.76,15.27
2610200002,26,102,00,002,16.62,136.77,2.02,86.33,0.33,5.45,291.33,529.83,16.44
2610301001,26,103,01,001,16.49,137.41,2.02,70.82,0.38,5.15,266.98,516.51,13.84
2610301002,26,103,01,002,15.73,139.16,2.01,71.5,0.38,5.1,267.05,521.33,13.69
2610301003,26,103,01,003,15.52,134.22,1.93,63.73,0.4,5.09,253.97,505.41,13.3
2610301004,26,103,01,004,14.81,134.41,1.92,64.73,0.39,5.08,257.21,490.55,13.29
2610301005,26,103,01,005,15.79,140.8,1.95,67.88,0.37,5.12,248.04,505.67,13.59
2610301006,26,103,01,006,14.81,139.6,1.95,68.66,0.39,5.07,255.12,533.59,12.88
2610301007,26,103,01,007,14.03,136.99,1.97,68.47,0.39,4.98,265.42,540.27,12.32
