KEY,PREF,CITY,KCITY,RCOM,CITY_NAME,YEAR,POPULATION,TOTAL_WASTE,FOOD_WASTE,PLA_WASTE,SYNTEX_WASTE
2610100001,26,101,0,1,Kita,2030,4711,1119430,433220,138809,35822
2610100001,26,101,0,1,Kita,2031,4699,1096707,424426,135992,35095
2610100001,26,101,0,1,Kita,2032,4686,1073857,415583,133158,34363
2610100001,26,101,0,1,Kita,2033,4673,1051116,406782,130338,33636
2610100001,26,101,0,1,Kita,2034,4661,1028706,398109,127560,32919
2610100001,26,101,0,1,Kita,2035,4648,1006181,389392,124766,32198
2610100001,26,101,0,1,Kita,2036,4636,983978,380800,122013,31487
2610100001,26,101,0,1,Kita,2037,4623,961669,372166,119247,30773
2610100001,26,101,0,1,Kita,2038,4610,939470,363575,116494,30063
2610100001,26,101,0,1,Kita,2039,4598,917580,355103,113780,29363
2610100001,26,101,0,1,Kita,2040,4585,895596,346596,111054,28659
2610100001,26,101,0,1,Kita,2041,4573,873914,338205,108365,27965
2610100001,26,101,0,1,Kita,2042,4560,852146,329780,105666,27269
2610100001,26,101,0,1,Kita,2043,4547,830488,321399,102980,26576
2610100001,26,101,0,1,Kita,2044,4535,809118,313129,100331,25892
2610100001,26,101,0,1,Kita,2045,4522,787676,304830,97672,25206
2610100001,26,101,0,1,Kita,2046,4510,766513,296641,95048,24528
2610100001,26,101,0,1,Kita,2047,4497,745286,288426,92416,23849
2610100001,26,101,0,1,Kita,2048,4484,724170,280254,89797,23173
2610100001,26,101,0,1,Kita,2049,4472,703320,272185,87212,22506
2610100001,26,101,0,1,Kita,2050,4459,682419,264096,84620,21837
2610100002,26,101,0,2,Kita,2030,3032,720465,278820,89338,23055
2610100002,26,101,0,2,Kita,2031,3005,701342,271419,86966,22443
2610100002,26,101,0,2,Kita,2032,2977,682218,264018,84595,21831
2610100002,26,101,0,2,Kita,2033,2950,663555,256796,82281,21234
2610100002,26,101,0,2,Kita,2034,2923,645121,249662,79995,20644
2610100002,26,101,0,2,Kita,2035,2896,626915,242616,77737,20061
2610100002,26,101,0,2,Kita,2036,2868,608725,235577,75482,19479
2610100002,26,101,0,2,Kita,2037,2841,590980,228709,73282,18911
2610100002,26,101,0,2,Kita,2038,2814,573464,221930,71110,18351
2610100002,26,101,0,2,Kita,2039,2787,556176,215240,68966,17798
2610100002,26,101,0,2,Kita,2040,2759,538920,208562,66826,17245
2610100002,26,101,0,2,Kita,2041,2732,522093,202050,64740,16707
2610100002,26,101,0,2,Kita,2042,2705,505494,195626,62681,16176
2610100002,26,101,0,2,Kita,2043,2678,489124,189291,60651,15652
2610100002,26,101,0,2,Kita,2044,2650,472803,182975,58628,15130
2610100002,26,101,0,2,Kita,2045,2623,456894,176818,56655,14621
2610100002,26,101,0,2,Kita,2046,2596,441212,170749,54710,14119
2610100002,26,101,0,2,Kita,2047,2569,425760,164769,52794,13624
2610100002,26,101,0,2,Kita,2048,2541,410374,158815,50886,13132
2610100002,26,101,0,2,Kita,2049,2514,395382,153013,49027,12652
2610100002,26,101,0,2,Kita,2050,2487,380618,147299,47197,12180
2610100003,26,101,0,3,Kita,2030,686,163008,63084,20213,5216
2610100003,26,101,0,3,Kita,2031,685,159873,61871,19824,5116
2610100003,26,101,0,3,Kita,2032,684,156747,60661,19437,5016
2610100003,26,101,0,3,Kita,2033,683,153630,59455,19050,4916
2610100003,26,101,0,3,Kita,2034,682,150521,58252,18665,4817
2610100003,26,101,0,3,Kita,2035,681,147420,57052,18280,4717
2610100003,26,101,0,3,Kita,2036,680,144328,55855,17897,4619
2610100003,26,101,0,3,Kita,2037,679,141245,54662,17514,4520
2610100003,26,101,0,3,Kita,2038,677,137966,53393,17108,4415
2610100003,26,101,0,3,Kita,2039,676,134903,52207,16728,4317
2610100003,26,101,0,3,Kita,2040,675,131849,51026,16349,4219
2610100003,26,101,0,3,Kita,2041,674,128803,49847,15972,4122
2610100003,26,101,0,3,Kita,2042,673,125766,48672,15595,4025
2610100003,26,101,0,3,Kita,2043,672,122738,47499,15219,3928
2610100003,26,101,0,3,Kita,2044,671,119717,46331,14845,3831
2610100003,26,101,0,3,Kita,2045,670,116706,45165,14471,3735
2610100003,26,101,0,3,Kita,2046,669,113702,44003,14099,3638
2610100003,26,101,0,3,Kita,2047,668,110707,42844,13728,3543
2610100003,26,101,0,3,Kita,2048,667,107721,41688,13357,3447
2610100003,26,101,0,3,Kita,2049,666,104743,40536,12988,3352
2610100003,26,101,0,3,Kita,2050,665,101774,39386,12620,3257
2610100004,26,101,0,4,Kita,2030,711,168948,65383,20950,5406
2610100004,26,101,0,4,Kita,2031,716,167108,64671,20721,5347
